1,115,686
2,80,637
3,117,165
4,66,135
5,59,79
6,81,139
7,81,125
8,116,113
9,85,768
10,80,382
11,67,149
12,111,64
13,99,826
14,68,74
15,67,148
16,106,123
17,100,483
18,151,876
19,192,81
20,83,135
21,98,844
22,84,170
23,106,805
24,135,487
25,70,118
26,93,461
27,86,522
28,166,185
29,105,765
30,165,1136
31,94,247
32,101,612
33,103,213
34,207,467
35,85,929
36,173,506
37,185,891
38,97,906
39,99,529
40,97,833
41,112,843
42,71,557
43,97,5784
44,114,4426
45,108,163
46,79,41573
47,122,6245
48,102,28489
49,133,40853
50,68,41974
51,120,45000
52,96,49183
53,109,59325
54,122,62026
55,63,64994
56,96,68316
57,106,80379
58,119,83997
59,94,78993
60,82,88777
61,151,98567
62,106,93869
63,120,108122
64,108,101179
65,114,114378
66,132,119294
67,78,119283
68,59,123580
69,91,138726
70,126,144231
71,117,145032
72,125,146781
73,79,160287
74,100,161124
75,94,167920
76,101,152884
77,92,170473
78,96,83642
79,100,58247
80,88,34787
81,89,72383
82,98,72663
83,91,76080
84,90,78566
85,87,64803
86,2933,26952
87,94,30818
88,93,40541
89,86,32152
90,89,51882
91,112,46848
92,88,51034
93,92,65163
94,94,73049
95,95,92116
96,93,88686
97,88,93232
98,85,99950
99,84,116362
100,102,113759
101,85,116505
102,91,140230
103,86,175672
104,545,161455
105,106,207096
106,94,222499
107,75,215444
108,73,222853
109,76,200648
110,78,221649
111,76,197291
112,83,195007
113,1842,186049
114,1277,184320
115,4537,189319
116,96,211387
117,88,196853
118,95,218292
119,112,215143
120,86,225994
121,96,194265
122,96,183004
123,92,197732
124,86,229450
125,86,215796
126,94,200007
127,90,189041
128,103,217711
129,89,270348
130,85,264702
131,97,324738
132,86,266910
133,87,462435
134,26305,472883
135,30342,489410
136,2242,496441
137,79,514015
138,103,505277
139,86,561323
140,126,627029
141,4822,650117
142,24477,663214
143,2704,872245
144,98,661392
145,94,774599
146,91,709387
147,94,753640
148,99,818480
149,93,966505
150,522,983588
151,87,1021278
152,886,1140080
153,145,1038238
154,92,1165443
155,78,1181106
156,3170,1217354
157,196,1265267
158,117,1267351
159,97,1264421
160,99,1259077
161,91,1249556
162,91,1246556
163,114,1247708
164,61,1241493
165,73,1228958
166,90,1227371
